"","geo_merge","cases_final","case_rate_final","adj_case_rate_final","deaths_final","death_rate_final","adj_death_rate_final","persons_tested_final","testing_rate_final","adj_testing_rate_final","population"
"314","Unincorporated - Cerritos",0,0,0,0,0,0,17,2896,2851,587
"315","Unincorporated - Claremont",0,0,0,0,0,0,23,3276,4392,702
"316","Unincorporated - East Covina",0,0,0,0,0,0,13,3951,5367,329
"317","Unincorporated - East Lancaster",0,0,0,0,0,0,3,2632,895,114
"318","Unincorporated - El Monte",0,0,0,0,0,0,4,2759,3117,145
"319","Unincorporated - Harbor Gateway",0,0,0,0,0,0,2,2e+05,9407,1
"320","Unincorporated - La Habra Heights",0,0,0,0,0,0,7,1036,1374,676
"321","Unincorporated - Palos Verdes Peninsula",0,0,0,0,0,0,28,4509,5839,621
"322","Unincorporated - Placerita Canyon",0,0,0,0,0,0,4,870,1168,460
"323","Unincorporated - Roosevelt",0,0,0,0,0,0,10,1074,1175,931
"324","Unincorporated - Rosewood/East Gardena",0,0,0,0,0,0,56,4694,4676,1193
"325","Unincorporated - Sand Canyon",0,0,0,0,0,0,16,5195,11484,308
"326","Unincorporated - Saugus/Canyon Country",0,0,0,0,0,0,23,6461,7475,356
"327","Unincorporated - Southeast Antelope Valley",0,0,0,0,0,0,17,2177,2047,781
"328","Unincorporated - Westfield/Academy Hills",0,0,0,0,0,0,48,3692,3154,1300
"329","Unincorporated - Westhills",0,0,0,0,0,0,48,5721,6907,839
"330","Unincorporated - Whittier Narrows",0,0,0,0,0,0,2,16667,7860,12
